Part Number,Manufacturer,link to header file,Include file,Header 3,Example,Datasheet,Appli Note,Other link,Family,Comments,SubFamily,Date the line is added or modified,NickName,Name ,Micro Description,MicroDef,Hidden(Ride Internal Use),MicroRef,CoreName


EFM32GGxxxF1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GGxxxF1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GGxxxF1024.sim,No,,Cortex-M3 
EFM32GGxxxF512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GGxxxF512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GGxxxF512.sim,No,,Cortex-M3 
EFM32GG995F1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG995F1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GG995F1024.sim,No,,Cortex-M3 
EFM32GG995F512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG995F512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GG995F512.sim,No,,Cortex-M3 
EFM32GG990F1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG990F1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GG990F1024.sim,No,,Cortex-M3 
EFM32GG990F512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG990F512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GG990F512.sim,No,,Cortex-M3 
EFM32GG980F1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG980F1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GG980F1024.sim,No,,Cortex-M3 
EFM32GG980F512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG980F512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GG980F512.sim,No,,Cortex-M3 
EFM32GG942F1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG942F1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GG942F1024.sim,No,,Cortex-M3 
EFM32GG942F512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG942F512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GG942F512.sim,No,,Cortex-M3 
